Year,Sector,Size_Category,Mass (Gt)
2023,Amundsen and Bellingshausen Seas Sector,0-1 km²,403.97834507370897
2023,Amundsen and Bellingshausen Seas Sector,1-10 km²,407.75816242845536
2023,Amundsen and Bellingshausen Seas Sector,10-100 km²,181.61916784131375
2023,Amundsen and Bellingshausen Seas Sector,100-1000 km²,23.217611261725
2023,Amundsen and Bellingshausen Seas Sector,>1000 km²,628.040715026125
2023,Indian Ocean Sector,0-1 km²,295.0434969881704
2023,Indian Ocean Sector,1-10 km²,188.07462673001575
2023,Indian Ocean Sector,10-100 km²,114.39422082879875
2023,Indian Ocean Sector,100-1000 km²,435.3127629994125
2023,Indian Ocean Sector,>1000 km²,757.17759255775
2023,Ross Sea Sector,0-1 km²,231.42858597462876
2023,Ross Sea Sector,1-10 km²,126.87776535507949
2023,Ross Sea Sector,10-100 km²,68.1519265150675
2023,Ross Sea Sector,100-1000 km²,0.0
2023,Ross Sea Sector,>1000 km²,0.0
2023,Weddell Sea Sector,0-1 km²,277.278123220782
2023,Weddell Sea Sector,1-10 km²,228.11881543952586
2023,Weddell Sea Sector,10-100 km²,366.53349555489
2023,Weddell Sea Sector,100-1000 km²,817.892106859925
2023,Weddell Sea Sector,>1000 km²,1430.076381768
2023,Western Pacific Ocean Sector,0-1 km²,656.9709529335945
2023,Western Pacific Ocean Sector,1-10 km²,602.5041069436636
2023,Western Pacific Ocean Sector,10-100 km²,291.43933952714
2023,Western Pacific Ocean Sector,100-1000 km²,282.1856670705
2023,Western Pacific Ocean Sector,>1000 km²,0.0
